,carName,carCompany,carAge,carGear,carPrice,carMile,carLocationCity,carLocationState,carColorEx,carColorIn,carAccident,carOwner,carUsage,currentTime,currentDay
10014,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,"34,478","40,732",Hicksville, OH,Black,Gray,0,2,Personal,00:02:08,"2021,11,02"
10015,Chevrolet Malibu,Chevrolet,2018,LT with 1LT,"19,398","12,345",Tempe, AZ,White,Black,0,1,Personal,00:02:08,"2021,11,02"
10016,Ford F-150,Ford,2018,Lariat SuperCrew 5.5' Box 4WD,"36,969","85,956",Stonecrest, GA,Gray,Black,0,4,Fleet,00:02:08,"2021,11,02"
10017,Ford F-150,Ford,2018,XL SuperCrew 5.5' Box 4WD,"31,500","52,338",Norwalk, OH,Black,Black,0,2,Personal,00:02:08,"2021,11,02"
10018,Toyota Corolla,Toyota,2020,LE CVT,"18,499","51,479",Miami, FL,Black,Black,1,1,Personal,00:02:08,"2021,11,02"
10019,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,"30,995","102,571",Culpeper, VA,White,Black,0,1,Personal,00:02:08,"2021,11,02"
10020,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,"30,295","79,921",Little Rock, AR,Silver,Beige,0,2,Personal,00:02:08,"2021,11,02"
10021,Volkswagen Jetta,Volkswagen,2019,S Automatic,"15,995","33,000",Euless, TX,White,Black,0,1,Personal,00:02:08,"2021,11,02"
10022,Ford F-150,Ford,2017,XLT SuperCrew 5.5' Box 4WD,"26,990","113,243",Grand Rapids, MI,White,Unknown,0,Personal,Personal,00:02:08,"2021,11,02"
10023,Nissan Sentra,Nissan,2019,S CVT,"13,490","57,954",New Smyrna, FL,Silver,Black,1,2,Fleet,00:02:08,"2021,11,02"
10024,Toyota RAV4,Toyota,2019,LE FWD,"25,295","41,119",El Paso, TX,White,Unknown,0,2,Personal,00:02:08,"2021,11,02"
10025,Toyota Corolla,Toyota,2020,LE CVT,"20,499","44,100",San Diego, CA,White,Black,0,2,Personal,00:02:08,"2021,11,02"
10026,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,"33,000","62,672",Indianola, IA,Silver,Gray,0,1,Personal,00:02:10,"2021,11,02"
10027,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,"24,990","153,219",Tomball, TX,White,Gray,1,1,Personal,00:02:10,"2021,11,02"
10028,Toyota Corolla,Toyota,2019,LE CVT,"12,999","102,003",Jacksonville, FL,Black,Unknown,2,2,Fleet,00:02:10,"2021,11,02"
10029,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,"33,998","53,166",Winston-Salem, NC,Black,Gray,0,2,Personal,00:02:10,"2021,11,02"
