,carName,carCompany,carAge,carGear,carPrice,carMile,carLocationCity,carLocationState,carColorEx,carColorIn,carAccident,carOwner,carUsage,currentTime,currentDay
9974,Ford Fusion,Ford,2016,SE FWD,12700,81492,Lubbock, TX,Black,Black,0,2,Fleet,15:13:32,"2021,11,04"
9975,Ford F-150,Ford,2018,XL SuperCrew 5.5' Box 4WD,23987,143520,Dublin, GA,White,Gray,0,1,Personal,15:13:32,"2021,11,04"
9976,Toyota Corolla,Toyota,2020,LE CVT,19935,35454,Miami, FL,White,Black,0,1,Personal,15:13:32,"2021,11,04"
9977,Toyota Corolla,Toyota,2020,LE CVT,18499,51474,Miami, FL,Black,Black,1,1,Personal,15:13:32,"2021,11,04"
9978,Mercedes-Benz C-Class,Mercedes-Benz,2018,C 300 Sedan RWD,32591,31402,Bakersfield, CA,White,Unknown,0,1,Personal,15:13:32,"2021,11,04"
9979,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,32539,61682,Manning, SC,Gray,Gray,0,1,Personal,15:13:32,"2021,11,04"
9980,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,36248,39012,Fort Wayne, IN,White,Black,0,1,Personal,15:13:32,"2021,11,04"
9981,Mercedes-Benz C-Class,Mercedes-Benz,2018,C 300 Sedan RWD,31617,20001,Sacramento, CA,White,Beige,1,2,Personal,15:13:32,"2021,11,04"
9982,Ford F-150,Ford,2019,XLT SuperCrew 5.5' Box 4WD,30500,45891,Lindon, UT,Silver,Gray,0,1,Personal,15:13:32,"2021,11,04"
9983,Dodge Charger,Dodge,2018,R/T RWD,27995,82467,Brownsville, TX,White,Black,0,2,Personal,15:13:32,"2021,11,04"
9984,Mercedes-Benz C-Class,Mercedes-Benz,2018,C 300 Sedan RWD,31650,27626,Fremont, CA,White,Black,1,1,Personal,15:13:32,"2021,11,04"
9985,Nissan Sentra,Nissan,2019,SV CVT,12850,40000,Los Angeles, CA,Gray,Black,2,1,Fleet,15:13:32,"2021,11,04"
9986,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,31660,66917,Denton, TX,Silver,Gray,1,2,Personal,15:13:32,"2021,11,04"
9987,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,27824,184570,Mooresville, IN,Black,Gray,0,1,Personal,15:13:32,"2021,11,04"
9988,Ford F-150,Ford,2014,XLT SuperCrew 5.5' Box RWD,10985,246478,Fort Myers, FL,White,Gray,1,1,Personal,15:13:32,"2021,11,04"
9989,Toyota Tacoma,Toyota,2019,TRD Pro Double Cab 5' Bed V6 4WD Automatic,40457,26582,Fort Pierce, FL,White,Unknown,0,1,Personal,15:13:32,"2021,11,04"
9990,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,27757,125661,Springfield, VA,White,Black,2,1,Personal,15:13:32,"2021,11,04"
9991,Jeep Compass,Jeep,2018,Latitude 4WD,18900,83954,Harrisburg, PA,Black,Black,0,1,Personal,15:13:32,"2021,11,04"
9992,Kia Sorento,Kia,2020,LX V6 AWD,21999,53199,Sarasota, FL,Black,Black,0,1,Personal,15:13:32,"2021,11,04"
