,carName,carAge,carGear,carPrice,carMile,carLocationCity,carLocationState,carColorEx,carColorIn,carAccident,carOwner,carUsage
21,Ford F-150,2018,XL SuperCrew 5.5' Box 2WD,"$29,495","37,865",Tomball, TX,White,Unknown,No accidents,2,Personal
22,Ford F-150,2018,XLT SuperCrew 5.5' Box 4WD,"$27,824","184,570",Mooresville, IN,Black,Gray,No accidents,1,Personal
23,Nissan Sentra,2019,SV CVT,"$12,850","40,000",Los Angeles, CA,Gray,Black,2 accidents,1,Fleet
24,Ford F-150,2018,XLT SuperCrew 5.5' Box 4WD,"$31,660","66,917",Denton, TX,Silver,Gray,1 accident,2,Personal
25,Ford F-150,2014,XLT SuperCrew 5.5' Box RWD,"$10,985","246,478",Fort Myers, FL,White,Gray,1 accident,1,Personal
26,Toyota Tacoma,2019,TRD Pro Double Cab 5' Bed V6 4WD Manual,"$40,457","26,582",Fort Pierce, FL,White,Unknown,No accidents,1,Personal
27,Ford F-150,2018,XLT SuperCrew 5.5' Box 4WD,"$27,757","125,661",Springfield, VA,White,Black,2 accidents,1,Personal
28,Ford Fusion,2016,SE FWD,"$9,988","98,503",Van Nuys, CA,Black,Black,1 accident,5,Fleet
29,Ford Fusion,2016,SE FWD,"$9,995","117,354",Rancho Cordova, CA,White,Black,No accidents,3,Fleet
30,Jeep Compass,2018,Latitude 4WD,"$18,900","83,954",Harrisburg, PA,Black,Black,No accidents,1,Personal
31,Ford F-150,2018,XLT SuperCrew 5.5' Box 4WD,"$34,495","41,895",El Paso, TX,Silver,Unknown,No accidents,1,Personal
32,Toyota Camry,2018,SE I4 Automatic,"$17,790","55,308",Fort Lauderdale, FL,White,Unknown,No accidents,2,Personal
33,Toyota Corolla,2020,LE CVT,"$18,425","52,265",Live Oak, TX,White,Black,No accidents,1,Personal
34,Ford Super Duty F-250,2017,King Ranch Crew Cab 6.75' Bed 4WD,"$44,461","127,131",Columbus, TX,White,Brown,No accidents,2,Personal
